EventID,DisasterType,Date,Latitude,Longitude,Region,Personnel,MedicalSupplies,Shelters,FoodWater,ResponseTime,ResponseDuration,PeopleAffected,PeopleAssisted,InfrastructureCondition,PreparednessTraining,CommunityAwareness,AgenciesInvolved,CoordinationScore,CommunicationScore,EconomicDamage,Casualties,LongTermImpact
95,Tornado,2011-05-31,26.45575002328767,-70.38402126647944,Alaska,441,554,21,1590,fast,medium,low,low,Fair,Yes,No,medium,high,low,high,low,9
96,Earthquake,2011-06-05,37.9823819782137,-81.40314117389525,Austin,147,588,77,1911,medium,medium,high,medium,Poor,No,Yes,medium,low,high,low,low,8
97,Earthquake,2011-06-11,38.990885883309616,-122.7286518581086,Houston,68,855,91,346,medium,medium,medium,medium,Good,No,No,high,medium,high,medium,high,9
98,Earthquake,2011-06-16,29.73079862304552,-105.10774296677027,New Orleans,305,749,72,662,fast,long,high,high,Fair,Yes,Yes,high,medium,high,high,low,7
99,Tornado,2011-06-22,37.45808862595224,-103.18162422691732,New Orleans,420,719,80,1171,medium,long,low,medium,Fair,No,Yes,medium,high,high,high,low,7
100,Earthquake,2011-06-27,43.69653600874516,-116.4296795466422,Alaska,233,879,65,1911,medium,long,medium,medium,Poor,Yes,Yes,medium,medium,low,low,high,9
101,Earthquake,2011-07-03,43.18740903302658,-80.0604393534772,Houston,395,429,87,505,medium,long,medium,low,Good,No,Yes,high,high,high,medium,low,8
102,Flood,2011-07-08,37.74305489935449,-80.09916176260276,Austin,342,622,62,1679,medium,medium,high,high,Good,Yes,No,medium,high,medium,high,high,8
103,Hurricane,2011-07-14,33.267109916268424,-70.31952992986281,Alaska,110,723,21,949,slow,medium,medium,low,Fair,Yes,No,low,low,medium,low,medium,6
104,Hurricane,2011-07-19,48.16711190420021,-75.41071255738784,Phoenix,309,761,21,1438,slow,long,high,medium,Good,Yes,No,medium,medium,high,medium,high,7
105,Earthquake,2011-07-25,43.75504004533563,-120.6978362883771,Houston,346,475,10,315,fast,long,high,low,Fair,Yes,Yes,high,low,medium,high,high,5
106,Flood,2011-07-30,25.86148381823775,-73.37513359325024,California,101,634,59,1029,medium,long,high,medium,Poor,Yes,Yes,medium,high,low,high,medium,7
107,Hurricane,2011-08-05,44.7903683530212,-71.21725894375498,New Orleans,149,558,25,572,slow,long,high,high,Fair,Yes,No,low,medium,medium,medium,medium,8
108,Hurricane,2011-08-10,47.99422844349651,-74.45543741215967,Phoenix,342,987,37,1816,slow,long,high,medium,Fair,No,No,medium,medium,medium,high,high,8
109,Hurricane,2011-08-16,39.47875741741595,-83.78461190992971,Phoenix,60,807,40,1464,medium,long,high,high,Fair,Yes,Yes,high,high,medium,high,high,5
110,Flood,2011-08-21,36.98139121120592,-76.22611222894872,New Orleans,300,527,28,1451,slow,long,low,high,Good,Yes,Yes,high,low,medium,low,high,7
111,Earthquake,2011-08-27,26.285431312618336,-81.65323739256642,Alaska,132,114,40,1042,slow,long,high,medium,Good,Yes,No,low,high,high,low,low,9
112,Earthquake,2011-09-01,32.32554224443841,-75.6648784711675,Phoenix,394,639,88,1066,slow,long,low,low,Poor,No,No,high,high,low,low,high,6
113,Flood,2011-09-07,41.12526744962098,-71.26298488584695,California,199,328,12,1983,medium,long,medium,high,Poor,No,No,medium,low,high,medium,high,5
114,Flood,2011-09-12,49.57904675120808,-75.57198264475409,New Orleans,292,902,59,1444,fast,short,medium,medium,Good,No,Yes,high,medium,high,high,medium,8
115,Hurricane,2011-09-18,38.34236093693218,-114.56887654772834,Austin,101,788,78,856,fast,short,high,medium,Good,Yes,No,medium,medium,medium,high,medium,6
116,Earthquake,2011-09-23,26.107983716412416,-92.76912321828635,Phoenix,180,410,90,1130,slow,medium,high,medium,Fair,No,Yes,medium,high,high,medium,high,8
117,Earthquake,2011-09-29,38.538623377474174,-110.2202838891496,Austin,368,316,61,398,medium,long,low,high,Poor,Yes,Yes,medium,medium,low,high,high,8
118,Earthquake,2011-10-04,31.254970387063533,-90.53566558677068,Austin,63,174,41,1838,medium,medium,high,high,Good,No,Yes,high,medium,medium,low,high,7
119,Flood,2011-10-10,49.86754049867727,-113.341377248479,Austin,393,577,48,524,medium,long,high,low,Poor,Yes,No,high,medium,medium,medium,high,6
120,Earthquake,2011-10-15,35.834147120253945,-124.16664266502568,Phoenix,285,813,98,1224,slow,long,medium,low,Poor,No,Yes,medium,high,medium,medium,medium,9
121,Earthquake,2011-10-21,39.76117201695131,-118.1723323115412,California,126,112,13,535,medium,medium,high,medium,Good,No,No,low,medium,high,high,low,7
122,Tornado,2011-10-26,45.01971772440399,-108.60687120467836,Houston,112,167,91,333,slow,long,low,high,Poor,No,Yes,medium,high,high,medium,high,6
123,Flood,2011-10-31,28.16213043142244,-85.04559803297721,California,426,556,69,334,medium,short,high,high,Fair,No,No,medium,medium,high,high,low,9
124,Tornado,2011-11-06,38.76981718303267,-122.2231159437478,California,58,797,57,1618,slow,long,medium,medium,Good,No,Yes,high,low,medium,low,medium,9
125,Earthquake,2011-11-11,25.37274924018954,-77.18255383261663,Austin,105,641,17,966,medium,medium,low,high,Poor,No,Yes,low,medium,medium,medium,low,5
126,Flood,2011-11-17,31.844093675066997,-74.7167642674338,California,261,404,40,923,slow,short,high,high,Poor,Yes,Yes,high,high,high,high,low,7
127,Flood,2011-11-22,31.15384002231732,-102.2699314232017,New Orleans,420,805,38,1216,fast,short,medium,high,Poor,No,Yes,medium,high,medium,high,high,5
128,Hurricane,2011-11-28,28.504028676819367,-90.29427158742509,Alaska,338,761,70,1391,medium,medium,medium,medium,Fair,No,Yes,high,medium,medium,high,low,7
129,Earthquake,2011-12-03,36.84163956432754,-122.9225205722973,New Orleans,252,639,28,1494,slow,medium,high,high,Good,Yes,No,high,low,medium,high,low,7
130,Hurricane,2011-12-09,35.975758373358886,-120.59167723561016,New Orleans,205,944,33,1339,slow,medium,high,high,Good,No,Yes,medium,low,low,high,high,6
131,Earthquake,2011-12-14,45.40040145267145,-79.28543242634224,New Orleans,268,113,31,1820,medium,long,high,low,Fair,Yes,Yes,medium,low,high,high,medium,8
132,Hurricane,2011-12-20,25.33999369090876,-75.84690654727908,New Orleans,398,464,36,683,medium,medium,medium,low,Poor,Yes,Yes,medium,high,medium,high,low,8
133,Hurricane,2011-12-25,25.53522246548501,-83.64858561884765,New Orleans,302,671,47,1330,slow,medium,low,high,Poor,No,No,high,high,medium,high,low,7
134,Tornado,2011-12-31,43.62902040072552,-106.8208360622418,California,390,756,68,1745,slow,short,high,low,Good,No,No,high,high,medium,medium,high,7
135,Tornado,2012-01-05,43.02224016312746,-88.72625754247979,New Orleans,56,213,58,262,medium,medium,low,low,Good,No,No,high,low,medium,medium,high,9
136,Hurricane,2012-01-11,37.54812234101752,-71.65151088188563,Alaska,352,633,81,1964,fast,short,high,high,Good,Yes,No,high,low,medium,medium,medium,6
137,Earthquake,2012-01-16,34.37253286029873,-103.44963254081703,Phoenix,99,509,34,763,slow,long,high,medium,Good,No,No,medium,medium,medium,high,low,9
138,Earthquake,2012-01-22,29.898329375872464,-104.09122613367312,Phoenix,244,995,52,1486,medium,long,high,high,Poor,Yes,No,high,medium,low,high,high,6
139,Hurricane,2012-01-27,41.16755630924751,-78.19965816491997,Houston,392,743,67,1039,medium,long,high,high,Good,Yes,Yes,high,high,low,medium,low,6
140,Earthquake,2012-02-02,35.122539675069675,-123.1116865883674,Houston,261,580,17,932,medium,short,low,high,Good,Yes,No,low,high,medium,high,high,5
141,Tornado,2012-02-07,35.56681451648964,-105.60704916219184,New Orleans,231,407,70,832,slow,long,low,high,Poor,Yes,No,medium,high,medium,high,high,8
142,Tornado,2012-02-13,35.19939895634386,-106.85004066142932,Alaska,247,629,45,1383,fast,long,high,high,Poor,Yes,Yes,high,low,high,high,high,6
143,Flood,2012-02-18,27.668361973709217,-84.38219230690726,Houston,209,955,86,1721,slow,long,high,high,Good,Yes,No,low,medium,low,medium,high,8
144,Tornado,2012-02-24,40.74490983323366,-76.73081954672276,Austin,110,144,38,1388,medium,medium,high,high,Poor,Yes,No,medium,low,medium,high,low,9
145,Earthquake,2012-02-29,33.15643230475048,-75.94963133533022,Austin,289,290,37,1774,slow,long,high,medium,Fair,Yes,No,medium,low,medium,medium,high,6
146,Flood,2012-03-06,37.85058378241495,-121.186794363351,Alaska,211,628,45,857,slow,medium,medium,low,Poor,Yes,Yes,high,low,medium,medium,low,6
147,Hurricane,2012-03-11,45.29574400721381,-84.37659418001988,Phoenix,236,730,83,1241,slow,long,high,high,Poor,Yes,Yes,high,medium,high,medium,medium,7
148,Earthquake,2012-03-17,28.214662168727177,-117.41830739340496,California,273,393,93,1991,fast,long,high,medium,Good,Yes,No,medium,high,medium,low,high,6
149,Hurricane,2012-03-22,38.76181038457299,-77.19050725502372,New Orleans,184,599,14,694,medium,long,high,low,Fair,No,Yes,medium,high,high,high,medium,7
150,Earthquake,2012-03-28,30.316839317792898,-119.7945180521274,Houston,271,409,12,349,fast,long,high,medium,Poor,No,No,low,high,high,low,low,8
151,Earthquake,2012-04-02,45.74148347158767,-113.46732018164538,New Orleans,73,598,76,1530,fast,long,high,medium,Fair,No,Yes,high,high,high,medium,medium,7
152,Earthquake,2012-04-08,29.80141367664737,-95.19267434082836,Alaska,366,626,20,1442,medium,long,low,low,Fair,Yes,Yes,high,high,low,high,medium,8
153,Hurricane,2012-04-13,33.98361531147678,-96.38780339921408,Houston,289,781,70,904,slow,short,high,medium,Good,Yes,No,medium,high,high,low,medium,7
154,Flood,2012-04-18,33.96496856343104,-110.7404958707546,Alaska,418,534,64,354,medium,medium,medium,high,Poor,No,Yes,medium,high,medium,low,high,7
155,Flood,2012-04-24,48.7951261125813,-107.20982690943823,Alaska,351,853,98,1431,slow,long,high,low,Fair,No,No,low,low,medium,medium,low,6
156,Flood,2012-04-29,48.26344892105416,-115.8933362654719,California,121,574,37,530,slow,medium,high,low,Fair,Yes,No,medium,high,medium,low,low,5
157,Hurricane,2012-05-05,36.756992992486985,-72.15315350468481,Austin,129,919,37,1258,medium,long,high,high,Poor,Yes,No,high,medium,low,medium,low,9
158,Tornado,2012-05-10,36.89050922763006,-123.97981200302236,Houston,212,823,82,564,medium,long,high,medium,Poor,No,No,medium,medium,medium,high,high,9
159,Tornado,2012-05-16,32.998862073152715,-104.16158586983455,Austin,130,633,79,1179,fast,long,high,high,Good,No,Yes,low,low,low,high,high,7
160,Flood,2012-05-21,27.79186003595552,-90.45436112917628,Houston,51,385,95,1833,slow,long,medium,medium,Good,No,Yes,high,high,medium,medium,low,7
161,Hurricane,2012-05-27,45.98943359737687,-104.0640364896386,Alaska,63,581,71,531,slow,long,medium,high,Fair,No,No,high,high,high,low,high,6
162,Hurricane,2012-06-01,30.480171398143312,-117.74668299543518,New Orleans,427,304,70,1788,medium,short,high,low,Fair,Yes,No,high,medium,high,high,medium,7
163,Earthquake,2012-06-07,47.56371159042375,-99.75576750995631,New Orleans,492,335,17,1075,medium,medium,high,high,Good,Yes,No,low,high,high,medium,medium,5
164,Tornado,2012-06-12,32.694695081364856,-98.6859512227247,Austin,285,863,59,1552,medium,long,high,medium,Good,Yes,No,low,high,high,high,high,9
165,Hurricane,2012-06-18,27.7303614310226,-87.53282111085082,Phoenix,75,869,94,974,fast,medium,high,high,Fair,Yes,Yes,medium,medium,high,high,high,9
166,Flood,2012-06-23,25.47083163049461,-98.6827000203408,Houston,195,534,57,456,medium,long,high,medium,Poor,Yes,No,medium,medium,medium,medium,medium,6
167,Earthquake,2012-06-29,46.44068714051372,-94.50866495131308,Austin,452,979,44,1441,slow,long,high,medium,Fair,Yes,Yes,high,low,medium,low,high,8
168,Flood,2012-07-04,35.84657870071799,-118.62123328738146,Alaska,187,299,93,1273,fast,short,medium,medium,Fair,No,Yes,high,high,low,high,high,7
169,Flood,2012-07-10,31.43902651413576,-99.8847973115588,New Orleans,235,585,69,1697,medium,long,low,high,Good,Yes,Yes,high,high,low,medium,low,5
170,Flood,2012-07-15,33.33587666272948,-105.26731749575468,Austin,104,881,35,1579,slow,long,medium,medium,Good,Yes,No,low,high,high,medium,low,8
171,Hurricane,2012-07-21,31.61626769111592,-108.08161221458542,Phoenix,450,412,26,474,slow,medium,medium,high,Poor,Yes,Yes,medium,high,high,medium,medium,6
172,Flood,2012-07-26,48.11687695247016,-88.84940544674407,Austin,103,933,87,224,slow,medium,high,medium,Fair,Yes,No,high,high,medium,high,high,5
173,Earthquake,2012-08-01,42.680520748719374,-72.65276152283829,Houston,153,127,17,335,slow,short,high,medium,Good,No,Yes,low,medium,high,low,low,5
174,Hurricane,2012-08-06,32.92432855235777,-112.61000739147322,Phoenix,350,393,56,1080,medium,long,high,medium,Good,No,Yes,high,medium,medium,high,low,5
175,Hurricane,2012-08-12,34.394926306776696,-72.80025451857634,Houston,93,710,89,553,slow,medium,high,high,Poor,No,Yes,medium,medium,low,high,low,6
176,Flood,2012-08-17,44.57687550635255,-79.65451543066577,Alaska,118,182,43,678,slow,medium,high,high,Poor,No,No,high,high,medium,high,low,6
